LastName,FirstName,FullName,EmpID,MarriedID,FromDiversityJobFairID,Salary,Termd,Position,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Adinolfi, Wilson  K, Wilson  K Adinolfi,10026,0,0,62506,0,Production Technician I,1960,10-07-1983,Male ,3,US Citizen,No,5,05-07-2011,27-07-2024,N/A-StillEmployed,0,Production       ,Michael Albert,22,5,Exceeds,4.6,5,0,17-01-2019,0,1
Ait Sidi, Karthikeyan   , Karthikeyan    Ait Sidi,10084,1,0,104437,1,Sr. DBA,2148,05-05-1975,Male ,1,US Citizen,No,5,30-03-2015,16-06-2016,career change,2,IT/IS,Simon Roup,4,4,Fully Meets,4.96,3,6,24-02-2016,0,17
Akinkuolie, Sarah, Sarah Akinkuolie,10196,1,0,64955,1,Production Technician II,1810,19-09-1988,Female,1,US Citizen,No,5,05-07-2011,24-09-2012,hours,2,Production       ,Kissy Sullivan,20,5,Fully Meets,3.02,3,0,15-05-2012,0,3
Alagbe,Trina,Trina Alagbe,10088,1,0,64991,0,Production Technician I,1886,27-09-1988,Female,1,US Citizen,No,5,07-01-2008,27-07-2024,N/A-StillEmployed,0,Production       ,Elijiah Gray,16,4,Fully Meets,4.84,5,0,03-01-2019,0,15
Anderson, Carol , Carol  Anderson,10069,0,0,50825,1,Production Technician I,2169,08-09-1989,Female,0,US Citizen,No,5,11-07-2011,06-09-2016,return to school,2,Production       ,Webster Butler,39,3,Fully Meets,5,4,0,01-02-2016,0,2
Anderson, Linda  , Linda   Anderson,10002,0,0,57568,0,Production Technician I,1844,22-05-1977,Female,3,US Citizen,No,5,09-01-2012,27-07-2024,N/A-StillEmployed,0,Production       ,Amy Dunn,11,5,Exceeds,5,5,0,07-01-2019,0,15
Andreola, Colby, Colby Andreola,10194,0,0,95660,0,Software Engineer,2110,24-05-1979,Female,3,US Citizen,No,5,10-11-2014,27-07-2024,N/A-StillEmployed,0,Software Engineering,Alex Sweetwater,10,5,Fully Meets,3.04,3,4,02-01-2019,0,19
Athwal, Sam, Sam Athwal,10062,0,0,59365,0,Production Technician I,2199,18-02-1983,Male ,4,US Citizen,No,5,30-09-2013,27-07-2024,N/A-StillEmployed,0,Production       ,Ketsia Liebig,19,2,Fully Meets,5,4,0,25-02-2019,0,19
Bachiochi, Linda, Linda Bachiochi,10114,0,1,47837,0,Production Technician I,1902,11-02-1970,Female,3,US Citizen,No,2,06-07-2009,27-07-2024,N/A-StillEmployed,0,Production       ,Brannon Miller,12,1,Fully Meets,4.46,3,0,25-01-2019,0,4
Bacong, Alejandro , Alejandro  Bacong,10250,0,0,50178,0,IT Support,1886,07-01-1988,Male ,0,US Citizen,No,5,05-01-2015,27-07-2024,N/A-StillEmployed,0,IT/IS,Peter Monroe,7,4,Fully Meets,5,5,6,18-02-2019,0,16
Baczenski, Rachael  , Rachael   Baczenski,10252,1,1,54670,1,Production Technician I,1902,12-01-1974,Female,1,US Citizen,Yes,2,10-01-2011,12-01-2017,Another position,2,Production       ,David Stanley,14,1,Fully Meets,4.2,4,0,30-01-2016,0,12
Barbara, Thomas, Thomas Barbara,10242,1,1,47211,1,Production Technician I,2062,21-02-1974,Male ,1,US Citizen,Yes,2,02-04-2012,19-09-2016,unhappy,2,Production       ,Kissy Sullivan,20,1,Fully Meets,4.2,3,0,06-05-2016,0,15
Barbossa, Hector, Hector Barbossa,10012,0,1,92328,0,Data Analyst,78230,04-07-1988,Male ,0,US Citizen,No,2,10-11-2014,27-07-2024,N/A-StillEmployed,0,IT/IS,Simon Roup,4,1,Exceeds,4.28,4,5,25-02-2019,0,9
Barone, Francesco  A, Francesco  A Barone,10265,0,0,58709,0,Production Technician I,1810,20-07-1983,Male ,3,US Citizen,No,4,20-02-2012,27-07-2024,N/A-StillEmployed,0,Production       ,Kelley Spirea,18,3,Fully Meets,4.6,4,0,14-02-2019,0,7
Barton, Nader, Nader Barton,10066,0,0,52505,1,Production Technician I,2747,15-07-1977,Male ,0,US Citizen,No,5,24-09-2012,06-04-2017,Another position,2,Production       ,Michael Albert,22,6,Fully Meets,5,5,0,02-03-2017,0,1
Bates, Norman, Norman Bates,10061,0,0,57834,1,Production Technician I,2050,18-10-1981,Male ,3,US Citizen,No,5,21-02-2011,04-08-2017,attendance,1,Production       ,Kelley Spirea,18,3,Fully Meets,5,4,0,05-04-2017,0,20
Beak, Kimberly  , Kimberly   Beak,10023,1,0,70131,0,Production Technician II,2145,17-04-1966,Female,1,US Citizen,No,5,21-07-2016,27-07-2024,N/A-StillEmployed,0,Production       ,Kelley Spirea,18,2,Exceeds,4.4,3,0,14-01-2019,0,16
Beatrice, Courtney , Courtney  Beatrice,10055,0,0,59026,0,Production Technician I,1915,27-10-1970,Female,3,Eligible NonCitizen,No,5,04-04-2011,27-07-2024,N/A-StillEmployed,0,Production       ,Elijiah Gray,16,3,Fully Meets,5,5,0,14-01-2019,0,12
Becker, Renee, Renee Becker,10245,0,0,110000,1,Database Administrator,2026,04-04-1986,Female,3,US Citizen,Yes,5,07-07-2014,12-09-2015,performance,1,IT/IS,Simon Roup,4,3,Fully Meets,4.5,4,5,15-01-2015,0,8
Becker, Scott, Scott Becker,10277,0,0,53250,0,Production Technician I,2452,06-04-1979,Male ,3,US Citizen,No,1,08-07-2013,27-07-2024,N/A-StillEmployed,0,Production       ,Webster Butler,0,5,Fully Meets,4.2,4,0,11-01-2019,0,13
Bernstein, Sean, Sean Bernstein,10046,0,0,51044,0,Production Technician I,2072,22-12-1970,Male ,3,US Citizen,Yes,5,02-04-2012,27-07-2024,N/A-StillEmployed,0,Production       ,Amy Dunn,11,3,Fully Meets,5,3,0,14-01-2019,0,13
Biden, Lowan  M, Lowan  M Biden,10226,0,0,64919,0,Production Technician I,2027,27-12-1958,Female,0,US Citizen,No,1,19-08-2013,27-07-2024,N/A-StillEmployed,0,Production       ,Ketsia Liebig,19,4,Fully Meets,4.2,3,0,10-01-2019,0,2
Billis, Helen, Helen Billis,10003,1,0,62910,0,Production Technician I,2031,01-09-1989,Female,1,US Citizen,No,5,07-07-2014,27-07-2024,N/A-StillEmployed,0,Production       ,Brannon Miller,12,4,Exceeds,5,3,0,27-02-2019,0,19
Blount, Dianna, Dianna Blount,10294,0,0,66441,0,Production Technician II,2171,21-09-1990,Female,3,US Citizen,No,5,04-04-2011,27-07-2024,N/A-StillEmployed,0,Production       ,Michael Albert,22,0,Needs Improvement,2,3,0,27-02-2019,2,3
Bondwell, Betsy, Betsy Bondwell,10267,0,0,57815,1,Production Technician II,2210,16-01-1967,Female,3,US Citizen,No,5,10-01-2011,04-04-2014,career change,2,Production       ,Elijiah Gray,16,3,Fully Meets,4.8,5,0,04-03-2014,0,5
Booth, Frank, Frank Booth,10199,0,0,103613,1,Enterprise Architect,6033,30-07-1964,Male ,3,US Citizen,No,2,17-02-2014,19-02-2016,Learned that he is a gangster,1,IT/IS,Simon Roup,4,5,Fully Meets,3.5,5,7,10-01-2016,0,2
Boutwell, Bonalyn, Bonalyn Boutwell,10081,1,1,106367,0,Sr. Accountant,2468,04-04-1987,Female,1,US Citizen,No,2,16-02-2015,27-07-2024,N/A-StillEmployed,0,Admin Offices,Brandon R. LeBlanc,3,1,Fully Meets,5,4,3,18-02-2019,0,4
Bozzi, Charles, Charles Bozzi,10175,0,0,74312,1,Production Manager,1901,10-03-1970,Male ,3,US Citizen,No,1,30-09-2013,07-08-2014,retiring,2,Production       ,Janet King,2,4,Fully Meets,3.39,3,0,20-02-2014,0,14
Brill, Donna, Donna Brill,10177,1,0,53492,1,Production Technician I,1701,24-08-1990,Female,1,US Citizen,No,5,02-04-2012,15-06-2013,Another position,2,Production       ,David Stanley,14,3,Fully Meets,3.35,4,0,04-03-2013,0,6
Brown, Mia, Mia Brown,10238,1,1,63000,0,Accountant I,1450,24-11-1987,Female,1,US Citizen,No,2,27-10-2008,27-07-2024,N/A-StillEmployed,0,Admin Offices,Brandon R. LeBlanc,1,1,Fully Meets,4.5,2,6,15-01-2019,0,14
